paper_id,pdf_file,canonical_title,title_zh,authors,year,venue,language,tags,method_summary,datasets,memory_cues,duplicate_group,read_date,rating,notes_source
tcdi,TCDI (4).pdf,TCDI: Topology-Aware Conditional Diffusion Imputation for Spatiotemporal Monitoring in Mobile Crowdsensing,TCDI：面向群智感知时空监测的拓扑感知条件扩散插补,匿名作者,未注明,匿名稿/未注明,zh,稀疏移动群智感知;时空数据插补;条件扩散;图拓扑;轨迹蒸馏,用切比雪夫图滤波融合拓扑先验与自适应时空表示，并将50步教师扩散采样器蒸馏为5步学生采样器。,METR-LA;PeMS-BAY;Los-loop;AQI_437,那篇在3%感知比例下做极端缺失补全、强调拓扑先验，并把50步扩散采样压缩到5步、推理约快十倍的论文。,tcdi-revisions,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
tcdi,TCDI中文版_v22_学生五步噪声预测明确版.pdf,TCDI: Topology-Aware Conditional Diffusion Imputation for Spatiotemporal Monitoring in Mobile Crowdsensing,TCDI：面向群智感知时空监测的拓扑感知条件扩散插补,匿名作者,未注明,匿名稿/未注明,zh,稀疏移动群智感知;时空数据插补;条件扩散;图拓扑;轨迹蒸馏,用切比雪夫图滤波融合拓扑先验与自适应时空表示，并将50步教师扩散采样器蒸馏为5步学生采样器；该文件名标注为学生五步噪声预测明确版。,METR-LA;PeMS-BAY;Los-loop;AQI_437,TCDI的中文修订版，重点明确五步学生采样器的噪声预测与50步教师轨迹蒸馏。,tcdi-revisions,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
dualrl_u_2024,物联网期刊稀疏群智感知1【CAJ文档翻译】.pdf,Online User Recruitment With Adaptive Budget Segmentation in Sparse Mobile Crowdsensing,稀疏移动群智感知中基于自适应预算分割的在线用户招募,Xianwei Guo;Chunyu Tu;Yongtao Hao;Zhiyong Yu;Fang Huang;Leye Wang,2024,IEEE Internet of Things Journal 11(5),zh-translation,稀疏移动群智感知;在线用户招募;预算分割;强化学习;移动轨迹,提出DualRL-U，将在线用户招募拆成用户招募决策和预算保留决策，用两个交互强化学习模型适应轨迹不确定性。,北京空气质量CO/NO2/PM2.5/AQI;Geolife轨迹,那篇不直接做数据补全模型，而是用双强化学习决定招谁、什么时候保留预算，实验涉及北京34个空气质量站和Geolife轨迹。,,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
demi_2025,物联网期刊稀疏群智感知3【CAJ文档翻译】.pdf,A Diffusion-Based Expectation-Maximization Framework for Probabilistic Traffic Data Imputation,基于扩散的期望最大化概率交通数据插补框架,Cheng Lyu;Constantinos Antoniou,2025,IEEE Internet of Things Journal 12(20),zh-translation,交通数据插补;扩散模型;期望最大化;概率插补;后验采样;Transformer,把扩散模型嵌入EM框架，将缺失值视为潜变量，避免额外破坏观测值，并使用改进后验采样和Transformer去噪网络。,METR-LA;MAD（马德里交通）,那篇把EM和扩散模型结合起来、不依赖人工再次遮蔽观测值，并在洛杉矶和马德里交通数据上处理随机、块状及模式转移缺失。,,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
hddi_2025,第一篇.pdf,HDDI: A Historical Data-Based Diffusion Imputation Method for High-Accuracy Recovery in Multivariate Time Series With High Missing Rate and Long-Term Gap,HDDI：基于历史数据的高缺失率与长期缺口多变量时间序列扩散插补方法,Anonymous authors,2025,ICLR 2025 under review manuscript,en,多变量时间序列;高缺失率;长期缺口;历史数据补充;扩散插补,通过历史数据补充模块匹配并融合历史片段来扩充训练信息，再使用扩散插补模块恢复高缺失率和长期连续缺失。,ETT;Beijing Air-Quality;Chicago-Crime;Electricity;PhysioNet-2012,那篇在高缺失率和长时间连续缺失下，先从历史数据里匹配补充训练信息；摘要声称90%缺失时随机缺失提升25.15%、长期缺失提升13.64%。,,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
ccs_ta_2015,第三篇（cc让下）.pdf,CCS-TA: Quality-Guaranteed Online Task Allocation in Compressive Crowdsensing,CCS-TA：压缩群智感知中质量有保障的在线任务分配,Leye Wang;Daqing Zhang;Animesh Pathak;Chao Chen;Haoyi Xiong;Dingqi Yang;Yasha Wang,2015,ACM UbiComp 2015,en,压缩群智感知;在线任务分配;压缩感知;贝叶斯推断;主动学习;质量保证,结合压缩感知、贝叶斯推断和主动学习，每个感知周期选择尽量少的子区域，同时以概率方式保证整体数据精度。,真实温度监测;真实空气质量监测,那篇较早的UbiComp论文，用贝叶斯推断和主动学习做在线小区选择；温度实验中平均只感知约15.5%的子区域，并在95%的周期把误差控制在0.25摄氏度以内。,,,,根据PDF摘要和结论自动整理，待本人补充阅读笔记
smcs_survey_2026,第二篇.pdf,A Survey on Sparse Mobile Crowdsensing: Functionalities and Research Issues,稀疏移动群智感知综述：功能与研究问题,Wangjam Niranjan Singh;Rosy Swami;Tapodhir Acharjee;Abhijit Biswas,2026,Computación y Sistemas 30(1),en,稀疏移动群智感知;综述;功能;开放问题;数据推断;感知区域选择,综述移动群智感知与稀疏移动群智感知的框架、功能、相关研究及开放问题，涵盖数据补全、隐私、任务调度和激励机制。,综述论文，不对应单一实验数据集,那篇不是提出新模型，而是系统梳理稀疏群智感知功能、已有方法、常用数据集和开放研究问题的综述。,,,,根据PDF摘要和结论自动整理，待本人补充阅读笔记
rdpi_2025,第四篇（cc让下）.pdf,RDPI: A Refine Diffusion Probability Generation Method for Spatiotemporal Data Imputation,RDPI：面向时空数据插补的精炼扩散概率生成方法,Zijin Liu;Xiang Zhao;You Song,2025,AAAI 2025,en,时空数据插补;条件扩散;两阶段插补;残差扩散;采样加速,两阶段框架先用确定性模型产生初始估计，再以残差为扩散目标，并把观测值引入前向过程进行精炼。,PEMS-BAY;METR-LA;AQI;AQI36,那篇AAAI时空补全论文，先确定性粗补，再让扩散模型学习残差进行二次精炼，兼顾补全精度和采样成本。,,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
stei_2025,群智感知 数据补全  PEMS-BAY数据集.pdf,A New Data Completion Perspective on Sparse CrowdSensing: Spatiotemporal Evolutionary Inference Approach,稀疏群智感知的数据补全新视角：时空演化推断方法,En Wang;Zixuan Song;Mengni Wu;Wenbin Liu;Bo Yang;Yongjian Yang;Jie Wu,2025,IEEE Transactions on Mobile Computing 24(3),en,稀疏群智感知;数据补全;时空演化;局部相关性;噪声抑制,提出STEI，从强局部相关性出发逐步演化到全局相关性，并用自适应系数增强对已感知数据的依赖、抑制演化噪声。,Air-Quality;CHAP;GPCP-Daily;PEMS-BAY;Foursquare,那篇把稀疏群智感知看成数据补全问题，从局部强相关逐步演化到全局，并用自适应系数抑制推断噪声；用了空气污染、降水、交通和签到等五类数据。,,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
cofill_2025,通用场景下扩散模型不全数据.pdf,Filling the Missings: Spatiotemporal Data Imputation by Conditional Diffusion,填补缺失：基于条件扩散的时空数据插补,Wenying He;Jieling Huang;Junhua Gu;Ji Zhang;Yude Bai,2025,arXiv:2506.07099,en,时空数据插补;条件扩散;双流网络;时域;频域;无先验估计,提出CoFILL，使用时域和频域双流架构并行建模快速波动与长期模式，不依赖可能累积误差的先验插补结果。,AQI-36;METR-LA;PEMS-BAY,那篇同时走时域和频域两条网络分支的条件扩散补全方法，强调不使用容易累积误差的先验估计，在空气质量和两个交通数据集上实验。,,,,根据PDF摘要和实验章节自动整理，待本人补充阅读笔记
